RegionName,CountryName,State,City,PostalCode,WarehouseAddress,WarehouseName,EmployeeName,EmployeeEmail,EmployeePhone,EmployeeHireDate,EmployeeJobTitle,CategoryName,ProductName,ProductDescription,ProductStandardCost,Profit,ProductListPrice,CustomerName,CustomerAddress,CustomerCreditLimit,CustomerEmail,CustomerPhone,Status,OrderDate,OrderItemQuantity,PerUnitPrice,TotalItemQuantity,SalesOrderID,SalesOrderDate,SalesOrderStatus,SalesAmount
Portertown,Panama,Virginia,Paynefort,42829,"29532 Brown Isle Apt. 519
New Seanchester, GA 81441",Davis PLC,Anthony Rogers,eric20@hotmail.com,503-920-0905,2021-02-17,Agricultural engineer,Furniture,Cabinet,Like community way fine seat. Both discuss often.,643.99,169.94,922.83,Miguel Pruitt,"46817 Clark Light Apt. 560
Lake Christie, OK 04165",14572.17,naustin@christensen.com,+1-040-425-4351x200,Shipped,2023-10-23,8,1140.85,29,c8ed4b76-bf6f-4e20-bedc-fde10710986b,2022-11-18,Completed,9126.8
Walkerhaven,Pakistan,North Dakota,Ramirezborough,59499,"59551 Clark Crossroad
South Joshua, SD 03243",Wells-Walsh,Ian Arias,phorton@mitchell.com,(408)249-5586,2023-12-20,"Engineer, land",Toys,Jeans,Reveal well his smile company personal American.,803.32,62.39,1453.09,Claire Lopez,"USCGC Cole
FPO AP 17937",16445.95,james16@lamb.com,5947280773,Processing,2023-01-21,4,148.73,53,c7e48955-2335-48ad-9255-d5962ecb1464,2023-09-17,Pending,594.92
Jacksonton,Trinidad and Tobago,Connecticut,Perkinsland,75901,"300 William Haven
Taylorton, ME 79234",Leonard-Huffman,Sara Bowers,figueroaamy@yahoo.com,296-402-2541x3965,2022-08-19,Video editor,Appliances,Jacket,Within question so same special positive.,627.81,31.78,1471.16,Adam Porter,"2683 Ruiz Estates
Riceside, OH 99646",10118.53,sandranichols@gmail.com,127-490-6068x00224,Cancelled,2024-04-08,19,843.23,31,49e8fb42-795e-4266-8eb4-0d81560b254b,2024-04-14,Pending,16021.37
Williamsstad,Pitcairn Islands,Texas,Donnahaven,25822,"2096 Amanda Glens
East Charles, CO 44530",Rodriguez and Sons,Susan Flores,gonzalezdiana@bender-padilla.biz,001-116-287-6487x31743,2021-01-19,Probation officer,Furniture,Jeans,Piece where feel pattern public course.,692.66,357.06,1484.22,Kathy Owens,"06557 Darryl Expressway
West Jamesstad, MA 63605",11731.85,hayden58@hotmail.com,334.838.6257,Delivered,2024-05-20,13,722.97,38,7eb57a78-fbb6-4bb8-b819-579a1255508c,2023-03-09,Completed,9398.61
North Marilyn,Comoros,Utah,Riveramouth,19405,"959 Doyle Pines Suite 498
East Michael, IA 75585",Kramer Group,Kayla Lozano,michael21@gmail.com,781.382.4149x64367,2021-12-03,"Biochemist, clinical",Clothing,Air Conditioner,Simple stock thank. Eight technology certain at.,848.87,206.95,168.1,Kimberly Sanchez,"81946 Zimmerman Cliff
North William, ID 10682",12519.32,hwalker@wright.com,(356)967-4304,Cancelled,2023-07-29,13,484.24,30,460a6338-8705-472c-8017-470d82a5576d,2024-04-08,Pending,6295.12
Travischester,Svalbard & Jan Mayen Islands,Alabama,South Amberchester,76517,"31094 Meghan Turnpike Apt. 872
Amandamouth, MI 36993",Dunn PLC,Frank Casey,noah21@brown.com,859-755-6867,2021-05-28,Tree surgeon,Furniture,Dress,Middle he behind.,963.64,206.11,885.36,Alexandra Carney,"Unit 0440 Box 0777
DPO AA 27343",12544.41,qpruitt@nguyen.com,636.431.1114,Cancelled,2022-08-15,6,981.96,81,83138fac-6c0d-4165-ac24-d593797cdc20,2022-09-08,Completed,5891.76
North Jeffbury,Portugal,Nevada,Sherryhaven,43973,"1762 Whitehead Place
West Heatherville, MN 10028",Holt-Macdonald,Randy Adams,fred25@fernandez.com,(892)059-3759x4220,2021-10-04,Newspaper journalist,Appliances,Bed,Camera around product.,363.24,360.69,249.02,Isaac Wilson,"263 Black Forges Suite 119
East Jillport, AL 05621",16098.71,dmorton@riley.info,(946)340-2785x509,Shipped,2024-07-04,7,1225.83,22,bc39b6a8-5f40-4a32-986b-2e59d516c51c,2023-11-28,Completed,8580.81
Davidbury,Saint Barthelemy,New Jersey,East Wesleyburgh,22995,"864 Singh Isle Apt. 326
Leeview, RI 93041",Owen LLC,Daniel Lopez,goodbrian@bradley.biz,(262)593-7929,2019-11-24,Tax inspector,Furniture,Smartwatch,Data home question chair available.,673.0,343.19,998.76,Sarah Martinez,"USNV Singh
FPO AP 10701",10318.45,david73@duncan.com,(064)776-3888,Delivered,2022-07-27,6,900.37,22,9e4f3311-b73e-44dc-b8a2-c9ddcb4a3763,2023-07-13,Pending,5402.22
South Hannahburgh,Czech Republic,South Dakota,Williamshaven,36222,"57124 Ferguson Ranch
Lake Charlestown, CO 35591",Robinson Ltd,John Ruiz MD,tristan49@hotmail.com,991.713.6901,2022-06-21,Chartered legal executive (England and Wales),Furniture,Board Game,Range threat scientist from military tell.,911.76,52.44,1372.5,Dr. Nancy Shaw,"66777 Ann Curve Suite 300
South Kaitlynburgh, CT 80431",18088.56,rmorris@cordova.com,001-504-205-6372x029,Processing,2022-10-05,12,772.14,17,8e7204ad-c3ad-47e5-b72e-e77b1b904b3b,2022-11-21,Returned,9265.68
Lake Nancy,Luxembourg,South Dakota,West Stacy,29573,"756 Evans Motorway
Port Debra, ND 16271","Haynes, Bailey and Miles",Michael Steele,brandykelly@rodriguez.biz,+1-801-100-5428,2023-06-26,Electrical engineer,Clothing,Lego Set,Adult line seven range player.,891.8,430.65,60.13,Dan Wilson,"84827 Wright Drive
Thomasland, MI 82268",2312.54,danielanderson@gmail.com,(610)329-1574x47192,Shipped,2023-12-21,12,387.64,47,beb6f844-5728-4c4c-9774-626a2eb4437e,2024-06-14,Completed,4651.68
South Roseside,Saint Barthelemy,Oregon,North Karenland,65475,"394 Collins Courts
West Jessica, AR 88143",Nguyen-Smith,Victor Maddox,rmoss@valenzuela.com,404-580-1786,2022-11-29,Chief Technology Officer,Appliances,Toaster,Air for teach kind carry animal commercial.,632.76,243.02,1061.1,Krystal Brown,"67428 Matthew Isle
Loveland, MA 54951",13633.08,jbrown@hayes-henry.com,+1-381-870-1449x0025,Cancelled,2023-10-13,15,181.91,14,9c6af171-20fa-46a4-ae37-ca11b5377931,2023-11-27,Returned,2728.65
Nicolestad,Seychelles,New Hampshire,New Michaelview,21349,"12306 Brown Haven Apt. 511
North Jenniferhaven, NV 99304",Huffman and Sons,Alexander Welch,pmora@hill-hickman.com,001-169-052-9073,2019-10-09,"Accountant, chartered management",Electronics,Cabinet,Science here cup.,710.36,492.1,297.77,Cassandra Brown,"782 Gilmore Station
Vanessaton, MI 93629",5043.6,scottduncan@hotmail.com,(594)244-2392x4595,Delivered,2022-11-01,9,261.66,66,c68c68c4-feae-4f28-bb76-7f50299a111f,2022-08-28,Completed,2354.94
West Kristine,Belize,Missouri,Edwardland,78836,"582 Roman Row Suite 749
Angelahaven, NC 74593",Marquez-Brown,Jeremy Schmidt,briangoodman@white-silva.com,1602829158,2022-02-13,Hydrologist,Toys,Microwave,Brother read brother bed teach pressure.,937.81,15.63,999.48,Kristi Leonard,"8806 Jesse Neck
East Derrickmouth, MN 67587",8433.51,michaelhayes@hotmail.com,(735)112-5243x5159,Shipped,2022-11-10,1,1309.63,25,2f717bfb-912f-4bb5-9b23-e327c9d70f09,2022-07-24,Returned,1309.63
Philipburgh,Belize,Florida,Amberstad,11966,"716 Garcia Flats Apt. 675
Kingview, IA 65466","Lopez, Schultz and Steele",Angela Gill,bradleythompson@kennedy-cox.org,001-185-830-1291x528,2022-03-19,Soil scientist,Electronics,Tablet,Sound well threat will measure.,171.22,214.6,821.02,Devin Walker,"85645 Jeanne Stravenue
Molinaborough, PA 29899",10667.28,tyler21@gmail.com,001-288-235-2002,Shipped,2023-08-07,4,1225.27,17,f5331a45-19a3-4cca-b906-f639c40b31f7,2023-02-24,Returned,4901.08
New Megan,Estonia,Pennsylvania,Port Jill,36884,"0428 Sean Avenue
Natalieburgh, NC 25042","Bush, Rice and Carter",William Higgins,grantangela@yahoo.com,001-972-906-2598x4085,2024-01-27,Location manager,Clothing,Smartphone,Early type difficult practice goal mother little.,545.36,154.83,732.29,Christopher French,"1412 Ruben Haven Suite 129
Phillipschester, IN 99366",11203.41,richard22@yahoo.com,(914)223-8406x7712,Processing,2023-02-17,7,658.69,31,4aa12591-3ec0-44e7-8b36-4d30e5d310be,2023-09-10,Completed,4610.83
Jacktown,Equatorial Guinea,Nebraska,Vickieton,18231,"55989 Rogers Inlet Apt. 511
West Jennifer, RI 10889",Park LLC,Daniel Taylor,orozcojohnny@yahoo.com,(843)176-9477x44303,2023-08-18,Sports development officer,Furniture,Bed,Already home life weight. Adult way central.,986.81,355.43,336.89,Leslie Keith MD,"72557 Bailey Parkways
Myersland, MN 46079",13700.05,smithjackie@sanchez-miller.info,840.731.0968x74126,Shipped,2023-04-17,5,1080.19,12,79ab94a2-e15c-4ba3-b717-18c125150ed9,2023-04-07,Pending,5400.950000000001
Jefferyborough,Taiwan,Minnesota,Lake Nicoleton,74016,"337 Young Route
North Stacyburgh, SC 67443",Heath-Barker,Mary Jackson,ngoodwin@yahoo.com,201-086-5560x9065,2021-06-09,Community pharmacist,Electronics,Blender,Most get feeling cost.,646.71,410.81,355.11,Kimberly Hunter,"00670 Rogers Square
Grahamchester, KY 55423",11645.43,ewingstephanie@gmail.com,(279)428-7724x44247,Processing,2022-10-04,18,234.74,83,8369ed41-b3aa-4243-9403-db107f676b2f,2024-02-21,Returned,4225.32
Lake Melanie,Cape Verde,Vermont,West Christopher,22365,"577 Bates Avenue Apt. 814
Aaronchester, DE 26634","Bailey, Mora and Adams",Christine Wilson,wboyd@yahoo.com,569.088.9970,2021-08-31,Commercial art gallery manager,Appliances,Microwave,Interest training from task role upon recently.,138.01,249.87,1138.8,Renee Valencia,"2644 Brandon Summit
Teresaland, AZ 34011",19337.34,nancy60@gmail.com,4283825267,Processing,2024-03-24,15,959.43,69,fbc68d70-074e-4204-91f9-de9e132893d0,2023-03-07,Pending,14391.449999999999
South Stephaniemouth,Afghanistan,Wyoming,Lake Danielleton,09419,"9590 Carr Prairie
North Jacobshire, IA 47906","Chavez, Durham and Harris",Abigail York,emilytucker@hotmail.com,290.307.1132x834,2020-06-20,"Accountant, chartered certified",Appliances,Doll,Sign security course positive.,619.02,262.05,261.9,Carmen Smith,"01262 Leblanc Drives Suite 746
Deannamouth, NE 47721",8689.05,michael79@scott.com,174-464-4208,Shipped,2024-05-29,19,755.16,31,ba77f9aa-3946-41ac-8190-4588fc6a7d7a,2024-03-10,Pending,14348.039999999999
Johnville,Colombia,Virginia,Jenniferfurt,18838,"38596 Lisa Curve
New Jennifer, IN 21771","Griffin, Hall and Boyd",Lori Martinez,smithjeffrey@hotmail.com,(811)280-7445x46955,2024-03-23,Armed forces training and education officer,Furniture,Microwave,Daughter executive light sell.,641.07,33.74,789.48,Jason Green,"9871 Lam Haven
Michaelport, UT 07637",18513.91,timothyhodges@french.com,340-282-8803x25016,Delivered,2023-11-10,15,505.01,15,2b2463e3-0002-4580-bd0b-520edeeb1e02,2023-03-05,Returned,7575.15
West Mary,Cape Verde,Kansas,East Eric,84645,"884 Matthew Street Suite 449
North Melissa, VA 02000",Walsh-Smith,Stacey Garcia,amber51@hughes.com,(352)879-3963,2020-04-19,"Teacher, early years/pre",Electronics,Laptop,Student treatment church doctor throw.,850.09,379.44,534.95,Ashley Stewart,"63841 Morse Wells Suite 117
East Josephport, HI 00525",19160.87,vjenkins@hotmail.com,001-145-344-0914x650,Delivered,2023-02-17,12,843.35,95,174f98ad-c515-4a64-9e14-1d4f9e0e03a1,2024-04-15,Pending,10120.2
Jonesshire,Trinidad and Tobago,Kansas,Gainesville,80657,"18608 Wanda Landing Apt. 896
West Charlesfurt, IL 84897",Williams-Alexander,Ryan Green,david44@dillon.com,(592)975-8053x0846,2021-02-24,"Administrator, local government",Furniture,Blender,Action house protect care various ago child.,262.72,39.33,1373.35,Haley Wolfe,"39973 Jason Overpass Suite 451
Belindaton, LA 39085",911.7,nguyenshawn@smith-kim.net,001-775-806-0226,Shipped,2023-09-23,18,1294.86,78,c0c972cb-efae-48f1-a440-1c729b0636d5,2023-05-31,Returned,23307.48
East Sarahshire,Yemen,Missouri,Port Williamburgh,28433,"3196 Jared Crossing
Emilybury, VT 10083",Page Inc,Mary Ramos,ramirezmaria@yahoo.com,1448055168,2024-04-20,"Development worker, community",Toys,Cabinet,Stage party room finish star beat.,735.04,34.14,718.7,Leroy Matthews,"96883 Harris Gateway Apt. 642
Drakebury, CA 50754",4345.48,jennifer27@gmail.com,001-872-527-3278x509,Cancelled,2024-02-29,3,306.05,35,ad9ebf16-c9c2-4004-be8d-f0f7da729ca9,2023-07-28,Completed,918.1500000000001
South Staceyborough,Belgium,Virginia,Wrighthaven,67055,"4296 Patrick Valleys
North Dianastad, MT 03053",Montgomery-Banks,Dustin Randolph,stephanie94@yahoo.com,451.940.9100x390,2021-06-17,"Engineer, manufacturing",Clothing,Jeans,Peace consider our.,654.65,364.57,503.47,David Flores,"113 Timothy Burg
Gilbertside, CO 02408",2894.16,kellerjames@gmail.com,191.998.8747x16841,Shipped,2022-11-11,16,371.49,23,de6241ba-ec2e-4660-b7a1-a7adb702d834,2023-10-06,Returned,5943.84
Karenberg,Philippines,Iowa,Phillipsmouth,05621,"5354 Long Lodge
Brockview, MT 75375",Turner PLC,Wanda Santiago,lgeorge@gmail.com,376.864.4607,2022-11-29,Advertising copywriter,Furniture,Table,Raise later movie bit nation television.,396.05,57.17,73.8,Michaela Moore,"26526 Austin Lodge
South Laurieton, TN 40495",13713.29,tsmith@goodman.net,001-784-131-9161x98230,Delivered,2023-03-29,18,172.66,36,9f1351ef-2950-4af7-a586-cafd94a42c99,2023-02-02,Returned,3107.88
Carpenterstad,Costa Rica,Wyoming,North Kellyport,57146,"45339 Chapman Plains
Edwardville, WY 94859","Clarke, Arroyo and Adkins",Shawn Gonzalez MD,linda01@gmail.com,6919724522,2021-06-17,Advertising account planner,Electronics,Board Game,Article fire concern.,256.02,279.8,64.76,Jonathan Baker,"06548 Holland Loop
Youngfurt, IN 96512",6785.59,tinaperez@hotmail.com,373.575.0513,Delivered,2022-10-04,1,1092.8,90,7d05f071-4dff-4934-99d2-a0c84caeff52,2022-11-29,Pending,1092.8
North Kellyburgh,Taiwan,Washington,West Karabury,66594,"4332 Jennifer Bypass
New Gloria, IN 85398","Love, Matthews and Briggs",Lauren Morgan,yfernandez@gmail.com,638.406.7615x23491,2019-07-25,Retail buyer,Electronics,Action Figure,Family design new together leg deep.,546.62,143.43,866.83,James Sweeney,"6113 Christina Plains Apt. 349
Sotochester, AZ 95028",6533.49,qreed@johnston-lee.com,(956)461-5368x31361,Shipped,2022-12-24,9,870.83,49,377dbf83-1672-4a8d-a604-46b263d9bfae,2023-09-25,Pending,7837.47
Aguirreton,Malta,Arkansas,Vasquezmouth,31196,"690 Gloria Station Apt. 864
South Stephanie, MI 68962",Tucker Inc,Linda Stewart,michaeldyer@higgins.com,+1-396-391-1340x2124,2023-07-02,"Engineer, biomedical",Toys,T-Shirt,Century special degree station.,904.16,301.4,1110.83,Sandra Lopez,"222 Michael Neck Apt. 151
Hollowaymouth, TX 17879",5444.43,vkent@nixon.net,(398)135-9406x9327,Shipped,2023-04-07,20,1420.72,18,5e302035-7380-492d-81cd-a2961a7fce8b,2023-05-21,Completed,28414.4
Robinsonborough,Swaziland,Pennsylvania,Port Elizabethstad,32384,"74278 Karen Prairie
Michelleberg, GA 28366","Norton, Harper and Moore",Michelle Davis,david81@gmail.com,+1-976-991-2894,2021-11-03,"Exhibitions officer, museum/gallery",Electronics,Action Figure,Program student pattern hotel yourself.,421.3,211.76,152.55,Derek Kirby,"916 Debbie Village
South Kristopherview, NM 41813",9880.6,scampbell@cooper.com,001-424-550-3325,Delivered,2024-03-11,2,1487.88,67,5c81c578-115b-4522-ad9f-d902ee217338,2024-05-25,Pending,2975.76
East Rhondahaven,Egypt,Nevada,Fitzgeraldhaven,10258,"385 Wright Alley Suite 840
Jasonside, WA 31848",Young-Bowen,Tyler Johnson,jacquelinelopez@thomas-reyes.biz,(960)754-5013,2021-08-20,"Accountant, chartered",Toys,T-Shirt,Woman treat always turn soon common.,356.83,238.22,1455.69,Jacob White,"0345 Yu Summit Apt. 823
Kimberlymouth, DC 18812",4935.34,amy15@gmail.com,(221)883-6246,Delivered,2023-10-29,15,1268.78,77,e5022ae3-38c0-4925-8e2c-e362bf494557,2024-02-05,Completed,19031.7
Luiston,Mongolia,Massachusetts,Sheilaberg,04212,"14000 Mark Track Suite 026
Martinezberg, NV 41745",Weaver Group,Sheila George,velasquezroger@thomas.com,+1-811-528-0654,2022-08-27,Research scientist (medical),Clothing,Blender,Election top computer.,572.79,450.59,1457.54,Wayne Martinez,"4616 Reynolds Loaf Suite 185
Robertsberg, WV 11356",6155.95,kristi71@gmail.com,2369966229,Cancelled,2024-02-14,20,101.25,20,11a55a49-9cd4-4414-9e7f-51dd12b29182,2022-12-08,Pending,2025.0
South Joannatown,Isle of Man,Rhode Island,East Patricia,15330,"50828 Reynolds Brooks
Michaelport, UT 93233",Chandler Group,Autumn Richardson,kellykaren@yahoo.com,+1-728-098-4410x9418,2020-10-27,Systems developer,Clothing,Doll,Per democratic health memory past good cause.,694.46,59.67,1041.89,Amber Davis,"72904 Freeman Stravenue
New Whitney, DC 73954",18739.79,raymondjo@gonzalez.com,001-890-242-6073,Delivered,2023-11-03,4,461.71,25,2a39e417-8b7d-4196-a85d-1a899cbfbebf,2024-05-01,Pending,1846.84
North Michael,Dominican Republic,Illinois,Port Gregoryview,28945,"9240 Michael Curve Suite 548
Dawnville, AR 27640","Short, Johnson and Garcia",Larry Santos,ecarson@thomas.info,479.751.3954,2023-05-08,"Surveyor, rural practice",Electronics,Smartwatch,Source stuff these seek community build country.,412.01,455.05,25.73,Jeffrey Montgomery,"98389 Curry Fork
West Jeffreyborough, HI 06045",11097.08,obryant@hotmail.com,(107)566-0971x51535,Shipped,2023-03-02,18,359.12,87,af74eda1-e618-46b3-87c9-31e584205aeb,2022-07-31,Pending,6464.16
Port Jenniferport,Namibia,Vermont,Shaneberg,50830,"00092 Mclean Pines
Troybury, KS 33754",Andrews Group,Samantha Huff,lwilliamson@mercado-white.info,+1-522-151-2835x72722,2020-05-25,Records manager,Clothing,Jeans,Though agreement world example start.,874.75,477.98,1460.36,Angela Parsons,"0800 Scott Ramp
Port Johnborough, AR 93715",5848.94,claytoncameron@cortez-velasquez.com,001-155-986-9956x23736,Delivered,2022-09-23,8,1416.89,16,2f5a5948-f0a0-430e-baf3-0e9bc9625f60,2022-11-02,Pending,11335.12
Port Rebecca,Algeria,Louisiana,West George,91180,"PSC 5775, Box 6441
APO AA 88955",Snyder PLC,Ashley Page,brandonvance@spencer-waters.com,852.364.3441,2019-10-17,Marine scientist,Toys,Table,By outside less standard.,671.86,284.59,72.59,Kathryn Edwards,"PSC 3906, Box 8576
APO AA 06921",1252.69,chloebrown@hotmail.com,+1-954-955-5922x6639,Shipped,2022-09-26,12,1443.75,93,1ab42804-b60c-4216-bb6c-fe0116603e62,2024-03-08,Completed,17325.0
North Andrewtown,Solomon Islands,Alabama,Cartermouth,10304,"96091 Myers Road
Petersonport, MD 13907",Williams Ltd,Christian Schroeder,mary65@yahoo.com,660.530.0544,2020-05-27,Ship broker,Electronics,Smartwatch,Culture than quite score statement.,742.45,225.77,134.03,Joshua Stephens,"3139 Jenkins Walk Suite 440
South Charlesfurt, MI 11497",14603.55,jeffrey43@gutierrez-robinson.com,302.306.8738,Processing,2024-03-20,4,289.35,63,9911e8be-c9d8-41e9-ad60-0ecc18ba8dba,2023-05-27,Completed,1157.4
West Heatherburgh,Micronesia,Ohio,Maryland,37426,"Unit 3264 Box 5807
DPO AE 16457","Sims, Juarez and Reed",Holly Smith,sotodavid@hotmail.com,001-720-616-6493x5141,2020-03-04,"Engineer, biomedical",Electronics,Toaster,Magazine child particular.,551.68,478.47,1313.01,Brittany Moore,"07714 Carter Cliff
West Deniseview, KS 40416",7034.52,manningheather@chandler-proctor.com,807-786-5379,Shipped,2023-05-15,8,412.63,78,dc10b3b2-9806-416d-a323-1d19ada2bd18,2022-10-29,Returned,3301.04
South Beth,Kenya,Tennessee,Mirandafort,40429,"6863 Jerome Falls
Kerrchester, SC 52160",Escobar-Mayer,Sarah Nichols,hbenjamin@hotmail.com,3247390306,2021-03-09,"Engineer, civil (contracting)",Appliances,Air Conditioner,Town can evidence.,742.47,36.18,770.61,Zachary Moore,"350 Nicole Passage Suite 071
Ramirezport, SC 62177",2139.51,ostevenson@hotmail.com,001-551-751-6998x140,Processing,2024-06-09,7,370.02,46,649a7a61-eede-4980-a171-db09db57632e,2024-01-10,Completed,2590.14
Lynchfurt,Puerto Rico,South Dakota,South Linda,95214,"49262 Anthony Field
Smithville, NC 63777",Miller PLC,Eric Deleon,graysarah@yahoo.com,+1-291-812-1831,2024-01-07,Air cabin crew,Electronics,Bed,After show someone detail decade special.,312.78,17.44,368.27,Debra Crawford,"500 Kristina Lake Apt. 790
Kirkside, DC 89295",7790.15,jonathan58@davis.com,+1-095-839-0782,Delivered,2023-03-27,20,1459.73,43,37632cbd-0662-48b8-98de-236cc16e6ea7,2023-05-17,Returned,29194.6
Ashleyport,Switzerland,Pennsylvania,Sonyaberg,68245,"5509 Stanley Mill
New James, NE 06301",Stephens-Arnold,Aaron Garcia,elizabeth30@horton.com,001-962-247-6876x255,2020-10-17,"Engineer, communications",Toys,Chair,Mouth discussion type economy word.,355.66,435.04,1465.67,Denise Marshall,"2777 Cassandra Station Apt. 811
New Melissaville, ND 48421",7606.8,cooperanthony@gmail.com,+1-412-921-2747x999,Cancelled,2023-08-26,10,1008.44,60,ecd4f8f4-f0dd-4664-88a6-3c587cc11682,2024-02-16,Completed,10084.400000000001
Randyfurt,Japan,Maryland,Millerfurt,68086,"49479 Herrera Lodge
New Steven, UT 10273",Reyes LLC,Jenna Thompson,alexissingh@livingston.com,401.011.7808x67674,2023-12-29,"Engineer, civil (contracting)",Furniture,Table,Another can explain help white small.,752.72,182.12,1199.61,Glenn Ayala,"545 Werner Track
Williammouth, SD 12334",10570.08,welliott@gmail.com,121-563-4213x22756,Processing,2022-11-10,20,200.5,91,68b99ff5-e075-4641-995e-07712e02a899,2023-11-27,Returned,4010.0
Vaughanshire,Saint Vincent and the Grenadines,Washington,Port Michelleview,14076,"8045 Jenkins Corners Apt. 741
Delgadobury, SC 80713",Rodriguez-Gross,Dawn Allen,tjoseph@patterson.net,014-849-0549x950,2021-06-14,Chief Strategy Officer,Appliances,Laptop,Degree night from always condition measure drop.,543.22,403.78,894.12,Brittany Barrett,"740 Liu Tunnel Suite 140
Port Tracy, SD 48299",19261.71,kbell@morris.org,001-471-364-5157,Shipped,2023-10-30,16,1450.5,44,533024be-dc1c-4db5-9a2e-bd23b1914e1b,2023-11-20,Completed,23208.0
Wilsonview,Slovenia,Massachusetts,North Brookeland,86644,"73474 Murray Bridge
West Devon, CT 93794",Lawson-Gibbs,Rhonda Sanchez,anna87@nash-cross.org,001-613-378-5148x06057,2021-06-25,"Accountant, chartered public finance",Clothing,Table,Kid reason Republican writer Republican or rest.,218.74,109.61,988.9,Sarah Jones,"73391 Leah Alley
North Briannaton, DE 02778",14863.83,jwest@yahoo.com,001-890-813-8359x98197,Delivered,2023-11-20,7,425.4,72,d7e50179-b10d-46d5-a41c-9eb25e901c77,2024-02-10,Pending,2977.7999999999997
Danielstad,Qatar,Colorado,Johnbury,83896,"22355 Travis Junctions
Mccoyville, OR 01453",Jones-Jones,Charles Blankenship,berrywilliam@gmail.com,225.445.1834,2024-01-05,Senior tax professional/tax inspector,Appliances,Doll,Smile leader able tonight partner already north.,820.23,87.54,1072.88,Laura Green,"5152 Brittany Isle
Lake Brandishire, IN 82935",19723.39,dianalester@williams.com,857-177-1674x427,Delivered,2023-02-26,12,1442.63,45,8ec629ac-0448-4af7-9f67-8233e2514b32,2022-10-10,Completed,17311.56
South Keith,Malawi,New Jersey,Nathanielton,24178,"82851 Klein Greens Suite 313
Melaniemouth, WA 38860","Griffith, Jones and Moyer",Pamela Warren,angel34@yahoo.com,3462504029,2019-10-09,Financial trader,Clothing,T-Shirt,Raise machine buy strong military.,63.27,36.63,29.49,Brian Hunt,"108 Susan Prairie
South Jasminechester, OK 15114",2258.6,stucker@hotmail.com,(747)657-5123x344,Processing,2023-05-28,11,513.65,33,2bcc1501-d761-401d-b6dd-f251d721ac42,2024-03-23,Returned,5650.15
West James,Indonesia,Arizona,Lake Lisaport,98641,"86393 Peggy Radial
Cantrellbury, SC 97003",Carson and Sons,Karen Carpenter,jamesbrady@fowler.com,(668)772-5298x440,2022-04-25,Air traffic controller,Clothing,Blender,Forget look almost.,279.62,392.41,816.0,Michael Mitchell,"Unit 3191 Box 6613
DPO AE 75409",17187.02,michaelmcgrath@jones.net,001-169-337-8361x75403,Shipped,2023-08-07,12,1091.2,53,73161bc7-3256-4f90-b654-60b02549f0d1,2022-08-12,Returned,13094.400000000001
South Mary,Montserrat,Colorado,South Lesliebury,50472,"68619 Grant Locks Apt. 200
Dawnfort, MT 74190",Mcfarland Group,Kimberly Hall,jmueller@edwards-jones.com,+1-559-456-1260x710,2021-01-10,Intelligence analyst,Toys,Headphones,Who nearly with direction event.,824.62,304.03,117.25,William Flores,"USS Ross
FPO AP 37466",13560.45,jjones@patel.org,(272)412-4767,Processing,2022-07-28,2,99.01,59,e44ccda5-8001-4cdf-bc17-5b377b25a0c3,2023-12-24,Pending,198.02
Kramertown,Guam,Nebraska,West Melissaside,51037,"61812 Christopher Cape
Port Andreashire, NM 61300",Tyler LLC,Frank Garrison,ortizjenny@hotmail.com,001-309-786-5634x69130,2024-01-11,"Engineer, manufacturing",Appliances,Tablet,Crime hold music price like news show.,504.82,2.4,1316.42,Gregory Jefferson,"1202 Ruth Spurs Apt. 686
South Michael, AK 12054",4737.84,iterrell@hotmail.com,739.459.0419x95706,Cancelled,2023-10-15,8,321.78,35,2e34ab6d-e61b-4a3a-a9b2-451ef34275e5,2024-03-08,Returned,2574.24
Lake Austinfort,Somalia,New York,Jordanburgh,46955,"12393 Brandon Extension
Ernestberg, MA 16979",Brooks and Sons,Justin Armstrong,kcampbell@moore-benitez.com,1603980955,2022-10-29,Secretary/administrator,Electronics,Smartwatch,Plant different until edge meeting.,536.03,203.52,745.31,Preston Duffy III,"Unit 8710 Box 1384
DPO AA 54864",7637.09,randycastaneda@yahoo.com,093.883.7875x853,Cancelled,2024-04-03,7,237.27,20,afe8a74a-5b97-43df-9dc3-5a31b480475f,2022-12-03,Returned,1660.89
Rothside,Faroe Islands,Vermont,Davidbury,61300,"392 Moses Islands
Andersontown, OH 79629","Sloan, Dawson and Morrison",Roy Lee,jacob40@haas-stevenson.com,2108366297,2022-02-13,Oncologist,Clothing,Board Game,Year always pass which.,903.29,492.24,929.54,Debbie Taylor,"108 Walker Trail Apt. 747
Quinnberg, WY 42442",2803.63,luke92@shah.com,513.208.0742x64277,Shipped,2023-05-18,11,536.87,86,bfeb2237-4eff-401e-b0ca-ea839eb56bd9,2023-07-28,Pending,5905.57
